,date,Dataset_y,ACI,ZCR,BGNt,EVNtCount,Ht,ADI,BI,Hf,NDSI,MEANf,SNRf,cellvalue,n_cells
0,2019-01-01,OOI-HYDBBA106,252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,12.0,65
1,2019-01-01,OOI-HYDBBA106,252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,14.0,56
2,2019-01-01,OOI-HYDBBA106,252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,19.0,3
4,2019-01-01,"Chukchi Sea, Hanna Shoal",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,33.0,484
6,2019-01-01,"Gray's Reef, GA",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,15.0,3
7,2019-01-01,"Gray's Reef, GA",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,21.0,338
10,2019-01-01,"Biscayne Bay, FL",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,3.0,46
11,2019-01-01,"Biscayne Bay, FL",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,13.0,139
12,2019-01-01,"Biscayne Bay, FL",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,15.0,29
13,2019-01-01,"Biscayne Bay, FL",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,17.0,1
14,2019-01-01,"Biscayne Bay, FL",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,21.0,7
15,2019-01-01,"Biscayne Bay, FL",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,27.0,18
17,2019-01-01,"Olowalu (Maui, HI)",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,3.0,59
18,2019-01-01,"Olowalu (Maui, HI)",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,5.0,21
19,2019-01-01,"Olowalu (Maui, HI)",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,8.0,263
20,2019-01-01,"Olowalu (Maui, HI)",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,11.0,8
21,2019-01-01,"Olowalu (Maui, HI)",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,13.0,5
22,2019-01-01,"Olowalu (Maui, HI)",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,15.0,1
23,2019-01-01,"Olowalu (Maui, HI)",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,17.0,33
25,2019-01-01,"May River, SC",252.52121175000002,1444.8216665,-37.54489078,2.3202416919999997,0.9727015455,2.0653502379999997,0.110741856,0.451250566,-0.8005984509999999,0.000142998,2.259927463,21.0,134
27,2019-01-01,OOI-HYDBBA106,362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,12.0,65
28,2019-01-01,OOI-HYDBBA106,362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,14.0,56
29,2019-01-01,OOI-HYDBBA106,362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,19.0,3
31,2019-01-01,"Chukchi Sea, Hanna Shoal",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,33.0,484
33,2019-01-01,"Gray's Reef, GA",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,15.0,3
34,2019-01-01,"Gray's Reef, GA",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,21.0,338
37,2019-01-01,"Biscayne Bay, FL",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,3.0,46
38,2019-01-01,"Biscayne Bay, FL",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,13.0,139
39,2019-01-01,"Biscayne Bay, FL",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,15.0,29
40,2019-01-01,"Biscayne Bay, FL",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,17.0,1
41,2019-01-01,"Biscayne Bay, FL",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,21.0,7
42,2019-01-01,"Biscayne Bay, FL",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,27.0,18
44,2019-01-01,"Olowalu (Maui, HI)",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,3.0,59
45,2019-01-01,"Olowalu (Maui, HI)",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,5.0,21
46,2019-01-01,"Olowalu (Maui, HI)",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,8.0,263
47,2019-01-01,"Olowalu (Maui, HI)",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,11.0,8
48,2019-01-01,"Olowalu (Maui, HI)",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,13.0,5
49,2019-01-01,"Olowalu (Maui, HI)",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,15.0,1
50,2019-01-01,"Olowalu (Maui, HI)",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,17.0,33
52,2019-01-01,"May River, SC",362.6777991,18857.486665,-44.625970925,6.346892334,0.8211258075,3.0954178865,177.4099127,0.929206701,0.9887898525000001,7.745e-05,5.5594865725,21.0,134
54,2019-01-09,OOI-HYDBBA106,251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,12.0,324
55,2019-01-09,OOI-HYDBBA106,251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,14.0,11
56,2019-01-09,OOI-HYDBBA106,251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,19.0,6
57,2019-01-09,OOI-HYDBBA106,251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,22.0,2
58,2019-01-09,OOI-HYDBBA106,251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,27.0,1
60,2019-01-09,"Chukchi Sea, Hanna Shoal",251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,32.0,56
61,2019-01-09,"Chukchi Sea, Hanna Shoal",251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,33.0,428
63,2019-01-09,"Gray's Reef, GA",251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,15.0,10
64,2019-01-09,"Gray's Reef, GA",251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,21.0,368
65,2019-01-09,"Gray's Reef, GA",251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,27.0,3
67,2019-01-09,ONC-MEF,251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,12.0,18
69,2019-01-09,"Biscayne Bay, FL",251.62977745,7307.3416665,-51.610981210000006,0.258360246,0.988566378,2.079406091,2.648592819,0.9748218694999999,0.45183188399999996,5.08e-05,2.0968444059999998,3.0,55
