Prefix,Category,Subcategory,Description
ACI,Complexity Indices,Amplitude Variation,"Quantifies the complexity of sound by evaluating the variation in amplitude among frequency bands, providing insights into the richness and diversity of the acoustic environment. Based on user defined threshold (Full bandwidth used for these calculations)"
ACTspCount,Complexity Indices,Spatial Activity,"Measures the count of spatial areas showing significant sound activity, reflecting spatial patterns of sound distribution and activity. Quantifies how many distinct spatial regions have notable sound events."
ACTspFract,Complexity Indices,Spatial Activity,"Measures fraction of spatial areas showing significant sound activity, reflecting spatial patterns of sound distribution and activity. Represents proportion of the area that is active, providing insight into concentration of sound activity across space"
ACTspMean,Complexity Indices,Spatial Activity,"Measures the mean spatial areas showing significant sound activity, reflecting spatial patterns of sound distribution and activity. Provides average intensity of sound activity in the area, or overall sound energy distribution."
ACTtCount,Temporal Indices,Temporal Activity,"Evaluates count of temporal sound activity, providing insights into the frequency, duration, and intensity of acoustic events over time. Quantifies how many distinct time intervals have notable sound events"
ACTtFraction,Temporal Indices,Temporal Activity,"Evaluates fraction of total time of temporal sound activity, providing insights into the frequency, duration, and intensity of acoustic events over time. Represents proportion of time that is active, relating to the concentration of sound activity over time."
ACTtMean,Temporal Indices,Temporal Activity,"Evaluates mean temporal sound activity, providing insights into the frequency, duration, and intensity of acoustic events over time. Provides average intensity of sound activity in active time segments."
ADI,Diversity Indices,Diversity,"Measures the variety of sound frequencies present, indicative of biodiversity, and provides valuable information about the ecological integrity and health of the acoustic environment. Based on user defined threshold for andthrophony (0-1,000 Hz for 16 kHz SR; 0-1,500 Hz for Full Bandwidth) and biophony (1,000 Hz - 8,000 Hz for 16 kHz SR; 1,500 Hz and up for Full Bandwidth runs)."
AEI,Diversity Indices,Evenness,"Evaluates the evenness of the distribution of sound energy across frequencies, reflecting the balance and uniformity of acoustic energy within the environment. Based on user defined threshold for andthrophony (0-1,000 Hz for 16 kHz SR; 0-1,500 Hz for Full Bandwidth) and biophony (1,000 Hz - 8,000 Hz for 16 kHz SR; 1,500 Hz and up for Full Bandwidth runs)."
AGI,Complexity Indices,Gap Analysis,"Measures the gaps or silent intervals within the acoustic signal, indicative of disturbance or interruptions in natural soundscapes, indicating areas or periods of significnt acoustic change."
AnthroEnergy,Spectral Indices,Energy,"Measure of energy associated with human-made sounds, providing information about anthropogenic influences on the acoustic environment. Based on user defined threshold (1,000 Hz for 16 kHz SR; 1,500 Hz for Full bandwidth)"
BGNf,Amplitude Indices,Background Noise,"Level of background noise in the frequency domain, indicating the level of ambient noise pollution in the environment. "
BGNt,Temporal Indices,Background Noise,"Level of background noise in the time domain, indicating the level of ambient noise pollution over time."
BI,Diversity Indices,Biotic Index,"Index evaluating the presence of biological sounds. Based on user defined threshold (1,000 Hz - 8,000 Hz for 16 kHz SR; 1,500 Hz and up for Full Bandwidth runs)"
BioEnergy,Diversity Indices,Energy,"Measure of energy associated with natural sounds, reflecting the presence and intensity of biological activities within the environment. Based on user defined threshold (1,000 Hz - 8,000 Hz for 16 kHz SR; 1,500 Hz and up for Full Bandwidth runs)"
EAS,Complexity Indices,Energy Spectrum,"Total acoustic energy measured across the spectrum, providing an overview of the overall energy distribution and composition of the acoustic environment."
ECU,Complexity Indices,Frequency Channel,"Evenness with which different frequency channels are utilized, reflecting the efficient utilization of frequency resources within the acoustic spectrum."
ECV,Complexity Indices,Energy Variation,"Coefficient of variation of the energy across different frequency bands, providing insights into the variability and distribution of acoustic energy within the environment."
ENRf,Complexity Indices,Energy Ratio,"Ratio of energy within certain frequency bands compared to the total energy, offering information about the distribution and allocation of energy across the frequency spectrum."
EPS,Spectral Indices,Energy Spectrum,"Measure of the peak energy in the spectrum, indicating the presence and intensity of dominant acoustic events or phenomena."
EPS_KURT,Spectral Indices,Energy Spectrum,"Kurtosis of the energy peak spectrum, indicating the shape of the peak distribution and providing insights into the distributional characteristics of dominant energy sources."
EPS_SKEW,Spectral Indices,Energy Spectrum,"Skewness of the energy peak spectrum, indicating the asymmetry of the peak distribution and providing information about the uniformity of energy distribution within the spectrum."
EVNspCount,Complexity Indices,Spatial Event,"Count of sound events in spatial areas, offering insights into spatial patterns of sound activity and distribution."
EVNspFract,Complexity Indices,Spatial Event,"Fraction of the spatial domain where sound events occur, providing insights into spatial patterns of sound activity and distribution."
EVNspMean,Complexity Indices,Spatial Event,"Average level of sound events across spatial areas, providing insights into spatial patterns of sound activity and distribution."
EVNtCount,Temporal Indices,Temporal Event,"Number of distinct sound events detected, providing insights into the frequency and occurrence of sound events over time."
EVNtFraction,Temporal Indices,Temporal Event,"Fraction of time that 'events' (heightened sound activity) occur, providing insights into the frequency and occurrence of sound events over time."
EVNtMean,Temporal Indices,Temporal Event,"Average sound level during event times, providing insights into the intensity and characteristics of sound events over time."
H_gamma,Diversity Indices,Entropy,"Entropy measure based on the gamma distribution, used for sound diversity."
H_GiniSimpson,Diversity Indices,Entropy,"Entropy based on the Gini-Simpson index, reflecting diversity and probability."
H_Havrda,Diversity Indices,Entropy,"Entropy measure based on Havrda-Charvat entropy, reflecting diversity."
H_pairedShannon,Diversity Indices,Entropy,Shannon entropy calculated from paired data sets for comparing diversity.
H_Renyi,Diversity Indices,Entropy,Generalized entropy measure capturing diversity and richness of the soundscape.
Hf,Spectral Indices,Frequency,Extent to which high frequencies are present in the soundscape.
HFC,Spectral Indices,Frequency,Reiterates the presence and extent of high frequencies in the soundscape.
Ht,Temporal Indices,Time,"Median frequency of the acoustic signal, providing insights into the central tendency of frequency distribution within the environment."
KURTf,Spectral Indices,Frequency Distribution,"'Tailedness' of the frequency distribution, indicating infrequent extreme frequency deviations."
KURTt,Amplitude Indices,Time Distribution,"'Tailedness' of the amplitude distribution in the time domain, indicating infrequent extreme deviations."
LEQf,Amplitude Indices,Frequency,Equivalent constant sound level in the frequency domain that conveys the same sound energy.
LEQt,Temporal Indices,Time,Constant sound level that delivers the same sound energy as the varying sound level over a specified period.
LFC,Spectral Indices,Frequency,Extent to which low frequencies are present in the soundscape.
MEANf,Amplitude Indices,Frequency,"Average frequency of sounds, weighted by their amplitude."
MEANt,Temporal Indices,Time,"The average amplitude of the audio signal over time, reflecting the overall loudness."
MFC,Spectral Indices,Frequency,Extent to which mid-range frequencies are present in the soundscape.
MED,Spectral Indices,Energy Distribution,"Median frequency of the acoustic signal, providing insights into the central tendency of frequency distribution within the environment."
NBPEAKS,Spectral Indices,Frequency,Total number of prominent peaks in the frequency spectrum.
NDSI,Spectral Indices,Balance,Index of the balance between biological sounds and anthropogenic noise.
