code,species,short_name,Dataset
Em,red grouper,red grouper,Key West
Es,Nassau grouper,Nassau grouper,Key West
Mb,black grouper,black grouper,Key West
Uk,unknown,unknown,Key West
Vs,vessel,vessel,Key West
Sp,Silver perch,Silver perch,May River
Sp,Silver perch interruption,Silver perch,May River
Oy,Oyster toadfish boat whistle,Oyster,May River
Oy,Oyster toadfish grunt,Oyster,May River
Oy,Oyster toadfish interruption,Oyster,May River
Bd,Black drum,Black drum,May River
Bd,Black drum interruption,Black drum,May River
Ss,Spotted seatrout,Spotted seatrout,May River
Ss,Spotted seatrout interrpution,Spotted seatrout,May River
Rd,Red drum,Red drum,May River
Rd,Red drum interruption,Red drum,May River
Ac,Atlantic croaker,Atlantic croaker,May River
Wf,Weakfish,Weakfish,May River
Bo,Bottlenose dolphin echolocation,Bottlenose dolphin,May River
Bo,Bottlenose dolphin burst pulses,Bottlenose dolphin,May River
Bo,Bottlenose dolphin whistles,Bottlenose dolphin,May River
Vs,Vessel,vessel,May River
